Film d'Amore e d'Anarchia, Ovvero: Stamattina Alle 10, in Via dei Fiori, Nella Nota Casa di Tolleranza...|1973|Lina Wertmüller
The Final Countdown|1980|Don Taylor
Fire and Ice|1983|Ralph Bakshi
The Firm|1989|Alan Clarke
First Man into Space|1959|Robert Day
The First Nudie Musical|1976|Mark Haggard and Bruce Kimmel
The First Wives Club|1996|Hugh Wilson
The Fisher King|1991|Terry Gilliam
Fist of Fury|1972|Lo Wei
Fist of Legend|1994|Gordon Chan
Fitzcarraldo|1982|Werner Herzog
Five Deadly Venoms|1978|Chang Cheh
Flash Gordon|1980|Mike Hodges
Flaming Creatures|1963|Jack Smith
Flesh Gordon|1974|Michael Benveniste and Howard Ziehm
Fletch|1985|Michael Ritchie
Flodder|1986|Dick Maas
The Fly|1958|Kurt Neumann
The Fly|1986|David Cronenberg
The Fog|1980|John Carpenter
For Your Height Only|1981|Eddie Nicart
Forbidden Planet|1956|Fred M. Wilcox
Forbidden Zone|1980|Richard Elfman
Forbrydelsens Element|1984|Lars von Trier
Force of Evil|1948|Abraham Polonsky
The Fountain|2006|Darren Aronofsky
Foxy Brown|1974|Jack Hill
Frankenhooker|1990|Frank Henenlotter
Freaks|1932|Tod Browning
Freaked|1993|Alex Winter and Tom Stern
Freddy Got Fingered|2001|Tom Green
Freeway|1996|Matthew Bright
Die freudlose Gasse|1925|Georg Wilhelm Pabst
Friday|1995|F. Gary Gray
Friday the 13th|1980|Sean S. Cunningham
Friends with Money|2006|Nicole Holofcener
Fright Night|1985|Tom Holland
The Frighteners|1996|Peter Jackson
Fritz the Cat|1972|Ralph Bakshi
From Dusk till Dawn|1996|Robert Rodriguez
FUBAR|2002|Michael Dowse
Fucking Åmål|1998|Lukas Moodysson
Funny Games|1997|Michael Haneke
Furankenshutain no Kaijū: Sanda tai Gaira|1966|Ishirō Honda
Galaxy Invader|1985|Don Dohler
Galaxy of Terror|1981|Bruce D. Clark
Galaxy Quest|1999|Dean Parisot
Game of Death|1978|Bruce Lee
Gamera|1965|Noriaki Yuasa
Gandahar|1988|René Laloux
Gandu|2010|Qaushiq Mukherjee
Gangs of Wasseypur|2012|Anurag Kashyap
Gangsters contra charros|1948|Juan Orol
Ganja & Hess|1973|Bill Gunn
The Garbage Pail Kids Movie|1987|Rod Amateau
Garden State|2004|Zach Braff
The Gate|1987|Tibor Takács
Gayniggers from Outer Space|1992|Morten Lindberg
Gedo Senki|2006|Goro Miyazaki
Gegen die Wand|2004|Fatih Akin
Gekitotsu! Satsujin Ken|1974|Shigehiro Ozawa
Gentlemen Prefer Blondes|1953|Howard Hawks
Gerry|2002|Gus Van Sant
Get Carter|1971|Mike Hodges
Get Crazy|1983|Allan Arkush
Get to Know Your Rabbit|1972|Brian De Palma
Ghost Dog: The Way of the Samurai|1999|Jim Jarmusch
Ghost World|2001|Terry Zwigoff
The Giant Claw|1957|Fred F. Sears
The Giant Spider Invasion|1975|Bill Rebane
Gidget|1959|Paul Wendkos
Gilda|1946|Charles Vidor
Gimme Shelter|1970|Albert Maysles and David Maysles
Ginger Snaps|2000|John Fawcett
The Girl Can't Help It|1956|Frank Tashlin
The Girl Next Door|2004|Luke Greenfield
Giù la Testa|1971|Sergio Leone
Giv'at Halfon Eina Ona|1976|Assi Dayan
Gleaming the Cube|1989|Graeme Clifford
Glen or Glenda|1953|Ed Wood
Glengarry Glen Ross|1992|James Foley
The Gods Must Be Crazy|1980|Jamie Uys
Gojira|1954|Ishirō Honda
Godzilla|2014|Gareth Edwards
A Goofy Movie|1995|Kevin Lima
Goin' South|1978|Jack Nicholson
Der Golem, wie er in die Welt kam|1920|Paul Wegener
Gomorrah|2008|Matteo Garrone
Gone Baby Gone|2007|Ben Affleck
Good Burger|1997|Brian Robbins
Goon|2011|Michael Dowse
The Goonies|1985|Richard Donner
Gorgo|1961|Eugène Lourié
Gotti|2018|Kevin Connolly
Le Grand Bleu|1988|Luc Besson
La Grande Bouffe|1973|Marco Ferreri
Il Grande Silenzio|1968|Sergio Corbucci
Grandma's Boy|2006|Nicholaus Goossen
The Grateful Dead Movie|1977|Jerry Garcia and Leon Gast
Grease 2|1982|Patricia Birch
The Great Rock 'n' Roll Swindle|1980|Julien Temple
The Great Texas Dynamite Chase|1976|Michael Pressman
Grave of the Fireflies|1988|Isao Takahata
Greed|1924|Erich von Stroheim
Greetings|1968|Brian De Palma
Gremlins|1984|Joe Dante
Gremlins 2: The New Batch|1990|Joe Dante
Grey Gardens|1975|Albert and David Maysles
Grindhouse|2007|Robert Rodriguez and Quentin Tarantino
The Awful Dr. Orlof|1962|Jésus Franco
The Groove Tube|1974|Ken Shapiro
Grosse Pointe Blank|1997|George Armitage
Gummo|1997|Harmony Korine
Gun Crazy|1950|Joseph Lewis
Gunda|1998|Kanti Shah
Hackers|1995|Iain Softley
La haine|1995|Matthieu Kassovitz
Hairspray|1988|John Waters
Half Baked|1998|Tamra Davis
Halloween|1978|John Carpenter
Halloween: The Curse of Michael Myers|1995|Joe Chappelle
Halloween III: Season of the Witch|1982|Tommy Lee Wallace
Hana-bi|1997|Takeshi Kitano
Hard to Be a God|2013|Aleksei German
Gwoemul|2006|Bong Joon-ho
Hansel & Gretel: Witch Hunters|2013|Tommy Wirkola
Happiness|1998|Todd Solondz
Happy Gilmore|1996|Dennis Dugan
Happy Together|1997|Wong Kar-wai
Hard Boiled|1992|John Woo
A Hard Day's Night|1964|Richard Lester
Hard Target|1993|John Woo
Hard Ticket to Hawaii|1987|Andy Sidaris
The Harder They Come|1972|Perry Henzell
Hardware|1990|Richard Stanley
